survey_id,event_id,event_title,survey_date,source_of_hearing,age_group,annual_household_income,overal_event_expression,feeback_suggestion,genre,text_A,text_B,combined_text,sentiment_score,month_str
30,20.0,ThePaperboys,2023-05-19,Email,66+,"$50,001 - $100,000","Wonderful show!
We left at intermission, unfortunately,  because our stamina wanes.
Sorry",,Theatre Play,"Wonderful show!
We left at intermission, unfortunately,  because our stamina wanes.
Sorry",,"Wonderful show!
We left at intermission, unfortunately,  because our stamina wanes.
Sorry ",0.0,2023-05-01
31,20.0,ThePaperboys,2023-05-19,"Email, Gesa Power House Theatre website (www.phtww.org)",66+,"$50,001 - $100,000",Good presentation,Main vocal Mike was set too quiet,Theatre Play,Good presentation,Main vocal Mike was set too quiet,Good presentation Main vocal Mike was set too quiet,0.28888888888888886,2023-05-01
32,20.0,ThePaperboys,2023-05-19,Email,66+,"$100,001 - $200,000",Excellent!,Bring them back to town again!,Theatre Play,Excellent!,Bring them back to town again!,Excellent! Bring them back to town again!,0.5,2023-05-01
33,20.0,ThePaperboys,2023-05-19,"Walla Walla Union Bulletin, Gesa Power House Theatre website (www.phtww.org)",56-65,"$50,001 - $100,000",,,Theatre Play,,, ,,2023-05-01
34,20.0,ThePaperboys,2023-05-19,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,001 - $100,000",Excellent,,Theatre Play,Excellent,,Excellent ,1.0,2023-05-01
35,20.0,ThePaperboys,2023-05-19,"Walla Walla Union Bulletin, Social Media (Facebook, Twitter, Instagram), Gesa Power House Theatre website (www.phtww.org)",56-65,"$50,001 - $100,000",Fantastic venue and great band/show!  Have them back soon!!,,Theatre Play,Fantastic venue and great band/show!  Have them back soon!!,,Fantastic venue and great band/show!  Have them back soon!! ,0.4666666666666666,2023-05-01
36,20.0,ThePaperboys,2023-05-19,"Social Media (Facebook, Twitter, Instagram)",46-55,"$100,001 - $200,000","Great venue. Lighting was a bit crazy — way too bright for a lot of it. Sounded really good though, and the Paperboys were awesome!",,Theatre Play,"Great venue. Lighting was a bit crazy — way too bright for a lot of it. Sounded really good though, and the Paperboys were awesome!",,"Great venue. Lighting was a bit crazy — way too bright for a lot of it. Sounded really good though, and the Paperboys were awesome! ",0.52,2023-05-01
37,20.0,ThePaperboys,2023-05-19,"Walla Walla Union Bulletin, Email, Word of Mouth, Gesa Power House Theatre website (www.phtww.org)",66+,"$100,001 - $200,000",Great. Best in a long time.,Keep up the good work,Theatre Play,Great. Best in a long time.,Keep up the good work,Great. Best in a long time. Keep up the good work,0.6125,2023-05-01
38,20.0,ThePaperboys,2023-05-19,"Email, Gesa Power House Theatre website (www.phtww.org)",66+,"$100,001 - $200,000",Very fun show. Great music. Band members seemed so happy.,,Theatre Play,Very fun show. Great music. Band members seemed so happy.,,Very fun show. Great music. Band members seemed so happy. ,0.6633333333333333,2023-05-01
39,20.0,ThePaperboys,2023-05-19,Poster,66+,"$200,001 or above",A little loud. Had a hard time hearing the vocals. But I loved it and hope you bring them back,,Theatre Play,A little loud. Had a hard time hearing the vocals. But I loved it and hope you bring them back,,A little loud. Had a hard time hearing the vocals. But I loved it and hope you bring them back ,0.06416666666666666,2023-05-01
40,20.0,ThePaperboys,2023-05-19,Walla Walla Union Bulletin,66+,"$50,001 - $100,000",Very good,,Theatre Play,Very good,,Very good ,0.9099999999999999,2023-05-01
41,20.0,ThePaperboys,2023-05-19,Email,66+,,Great fun…very professional……feel good show,,Theatre Play,Great fun…very professional……feel good show,,Great fun…very professional……feel good show ,0.75,2023-05-01
42,20.0,ThePaperboys,2023-05-19,Other,46-55,"$50,001 - $100,000","Think the sound and some of the lighting (e.g., spotlights on musicians) could have been better - seemed like that wasn’t fully dialed in.
Overall value, very high - great performance - glad to hear they may come back.",N/A - seemed like there were plenty of volunteers and everything was easy!,Theatre Play,"Think the sound and some of the lighting (e.g., spotlights on musicians) could have been better - seemed like that wasn’t fully dialed in.
Overall value, very high - great performance - glad to hear they may come back.",N/A - seemed like there were plenty of volunteers and everything was easy!,"Think the sound and some of the lighting (e.g., spotlights on musicians) could have been better - seemed like that wasn’t fully dialed in.
Overall value, very high - great performance - glad to hear they may come back. N/A - seemed like there were plenty of volunteers and everything was easy!",0.3687083333333334,2023-05-01
43,20.0,ThePaperboys,2023-05-19,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,000 or below","The band itself was superb, thanks for bringing them! I sat in the 2nd row, left side. The lights were blinding the audience when full on. I was glad I brought my black fan, which I covered half my face with, peering from under it with one eye through much of the concert. Very, very disappointing. Especially paying $30, to be blinded through entire songs. Also, the vocals were hard to understand, a little muddy, not crisp. I heard that from another patron as well. And the people around me commented how rude it was to blind the audience. I love GPHT and want to be supportive, but I probably won't purchase the expensive front seat tickets again.","Just the lighting and sound, to make viewing less painful, and to hear diction in songs. For a lot of the concert, I couldn't hear her harmony where I was sitting. A friend in row G said he could.",Theatre Play,"The band itself was superb, thanks for bringing them! I sat in the 2nd row, left side. The lights were blinding the audience when full on. I was glad I brought my black fan, which I covered half my face with, peering from under it with one eye through much of the concert. Very, very disappointing. Especially paying $30, to be blinded through entire songs. Also, the vocals were hard to understand, a little muddy, not crisp. I heard that from another patron as well. And the people around me commented how rude it was to blind the audience. I love GPHT and want to be supportive, but I probably won't purchase the expensive front seat tickets again.","Just the lighting and sound, to make viewing less painful, and to hear diction in songs. For a lot of the concert, I couldn't hear her harmony where I was sitting. A friend in row G said he could.","The band itself was superb, thanks for bringing them! I sat in the 2nd row, left side. The lights were blinding the audience when full on. I was glad I brought my black fan, which I covered half my face with, peering from under it with one eye through much of the concert. Very, very disappointing. Especially paying $30, to be blinded through entire songs. Also, the vocals were hard to understand, a little muddy, not crisp. I heard that from another patron as well. And the people around me commented how rude it was to blind the audience. I love GPHT and want to be supportive, but I probably won't purchase the expensive front seat tickets again. Just the lighting and sound, to make viewing less painful, and to hear diction in songs. For a lot of the concert, I couldn't hear her harmony where I was sitting. A friend in row G said he could.",-0.0080072463768116,2023-05-01
44,20.0,ThePaperboys,2023-05-19,Email,56-65,"$100,001 - $200,000",Fantastic!,He said they might be coming back in October for a concert as a trio playing Latin music. I hope that you will schedule them or cosponsor them if they’re playing somewhere else in town.,Theatre Play,Fantastic!,He said they might be coming back in October for a concert as a trio playing Latin music. I hope that you will schedule them or cosponsor them if they’re playing somewhere else in town.,Fantastic! He said they might be coming back in October for a concert as a trio playing Latin music. I hope that you will schedule them or cosponsor them if they’re playing somewhere else in town.,0.25,2023-05-01
45,20.0,ThePaperboys,2023-05-19,Word of Mouth,66+,"$50,001 - $100,000",Everything was wonderful!,This was our first time at the theatre.  Would love to see Rhiannon Giddens there.,Theatre Play,Everything was wonderful!,This was our first time at the theatre.  Would love to see Rhiannon Giddens there.,Everything was wonderful! This was our first time at the theatre.  Would love to see Rhiannon Giddens there.,0.5833333333333334,2023-05-01
46,20.0,ThePaperboys,2023-05-19,"Email, Gesa Power House Theatre website (www.phtww.org)",66+,"$200,001 or above",Not good. Sound was too loud and we were in the last row. Also poor voice quality. Words were garbled,,Theatre Play,Not good. Sound was too loud and we were in the last row. Also poor voice quality. Words were garbled,,Not good. Sound was too loud and we were in the last row. Also poor voice quality. Words were garbled ,-0.049999999999999996,2023-05-01
47,20.0,ThePaperboys,2023-05-19,Email,66+,"$50,001 - $100,000",Fantastic,,Theatre Play,Fantastic,,Fantastic ,0.4,2023-05-01
48,20.0,ThePaperboys,2023-05-19,"Social Media (Facebook, Twitter, Instagram), Email, Gesa Power House Theatre website (www.phtww.org)",66+,,Absolutely loved it!  Coming to your beautiful theatre is such a treat!  Paperboys were such a talented fun group! Never disappointed coming to the Powerhouse.,,Theatre Play,Absolutely loved it!  Coming to your beautiful theatre is such a treat!  Paperboys were such a talented fun group! Never disappointed coming to the Powerhouse.,,Absolutely loved it!  Coming to your beautiful theatre is such a treat!  Paperboys were such a talented fun group! Never disappointed coming to the Powerhouse. ,0.45357142857142857,2023-05-01
49,20.0,ThePaperboys,2023-05-19,"Walla Walla Union Bulletin, Gesa Power House Theatre website (www.phtww.org)",66+,,Event was fantastic! Hope they will return to WW,,Theatre Play,Event was fantastic! Hope they will return to WW,,Event was fantastic! Hope they will return to WW ,0.5,2023-05-01
50,20.0,ThePaperboys,2023-05-19,"Social Media (Facebook, Twitter, Instagram)",46-55,"$100,001 - $200,000",It was fantastic though at times the sound was a echoed a bit.,,Theatre Play,It was fantastic though at times the sound was a echoed a bit.,,It was fantastic though at times the sound was a echoed a bit. ,0.4,2023-05-01
51,20.0,ThePaperboys,2023-05-19,Email,66+,"$50,001 - $100,000","Wonderful! The sound system seemed to require some help but after initial problems (couldn't hear the violinist initially, voice or instrument) but was still a bit 'garbled' - hard to distinguish any words.  Maybe the mics were set too sensitive or something?",Please don't schedule two wonderful concerts back to back!  Most can't afford a weekend of great music!!,Theatre Play,"Wonderful! The sound system seemed to require some help but after initial problems (couldn't hear the violinist initially, voice or instrument) but was still a bit 'garbled' - hard to distinguish any words.  Maybe the mics were set too sensitive or something?",Please don't schedule two wonderful concerts back to back!  Most can't afford a weekend of great music!!,"Wonderful! The sound system seemed to require some help but after initial problems (couldn't hear the violinist initially, voice or instrument) but was still a bit 'garbled' - hard to distinguish any words.  Maybe the mics were set too sensitive or something? Please don't schedule two wonderful concerts back to back!  Most can't afford a weekend of great music!!",0.3371212121212121,2023-05-01
52,20.0,ThePaperboys,2023-05-19,Walla Walla Union Bulletin,66+,"$100,001 - $200,000",Excellent,,Theatre Play,Excellent,,Excellent ,1.0,2023-05-01
53,20.0,ThePaperboys,2023-05-19,"Social Media (Facebook, Twitter, Instagram), Email, Gesa Power House Theatre website (www.phtww.org)",56-65,"$50,000 or below",WONDERFUL!! I great performance. Would come see them again!!,,Theatre Play,WONDERFUL!! I great performance. Would come see them again!!,,WONDERFUL!! I great performance. Would come see them again!! ,1.0,2023-05-01
54,20.0,ThePaperboys,2023-05-19,Gesa Power House Theatre website (www.phtww.org),46-55,"$50,001 - $100,000",LOVE LOVE LOVE - they put on a fantastic show!,,Theatre Play,LOVE LOVE LOVE - they put on a fantastic show!,,LOVE LOVE LOVE - they put on a fantastic show! ,0.5,2023-05-01
55,20.0,ThePaperboys,2023-05-19,Email,66+,,"Loved the group....but, the sound in the balcony was like tin noise so we moved downstairs at intermission which was a dramatically different experience - except that the bass was ridiculously overpowering. Lighting was fine. Quality of performers was excellent. Sound was definitely off which made for an experience I would not repeat. I don't know who was responsible for the overpowering bass, but it needs to be corrected.",I think the acoustics could be improved if some sound baffles are installed to eliminate the tin sound while in the balcony seats.,Theatre Play,"Loved the group....but, the sound in the balcony was like tin noise so we moved downstairs at intermission which was a dramatically different experience - except that the bass was ridiculously overpowering. Lighting was fine. Quality of performers was excellent. Sound was definitely off which made for an experience I would not repeat. I don't know who was responsible for the overpowering bass, but it needs to be corrected.",I think the acoustics could be improved if some sound baffles are installed to eliminate the tin sound while in the balcony seats.,"Loved the group....but, the sound in the balcony was like tin noise so we moved downstairs at intermission which was a dramatically different experience - except that the bass was ridiculously overpowering. Lighting was fine. Quality of performers was excellent. Sound was definitely off which made for an experience I would not repeat. I don't know who was responsible for the overpowering bass, but it needs to be corrected. I think the acoustics could be improved if some sound baffles are installed to eliminate the tin sound while in the balcony seats.",0.25256410256410255,2023-05-01
56,20.0,ThePaperboys,2023-05-19,Word of Mouth,46-55,"$100,001 - $200,000",Event was great. Sometimes the instrument sound overpowered the vocal sound. Not sure if it was the accusative of the building or the sound board.,,Theatre Play,Event was great. Sometimes the instrument sound overpowered the vocal sound. Not sure if it was the accusative of the building or the sound board.,,Event was great. Sometimes the instrument sound overpowered the vocal sound. Not sure if it was the accusative of the building or the sound board. ,0.35,2023-05-01
57,20.0,ThePaperboys,2023-05-19,Email,56-65,"$50,001 - $100,000","The Paperboys concert was amazing.  I have seen them twice before in Leavenworth and I have all of their albums.  The talent of the band is unbelievable.  However, I was very disappointed with the sound system. For one thing, it was just way too loud for the size of the venue.  I was in the sixth row and my friends and I felt like we were being blasted with sound.  Even more frustrating was that the mix for the vocals seemed way off. We could hardly hear what Tom was singing. It sounded like he was under 10 feet of water. It probably sounded ok in the balcony but it was very muddy in the front rows.  The sad thing is that the acoustics are very good in the theatre.  I sing with the Choral Society and we have sung there several times. There is no need to blast the music like they are in a stadium.  Anyway, we still enjoyed the show, but were disappointed with the sound system. Please bring them back and turn down the amps! :) Thanks!",,Theatre Play,"The Paperboys concert was amazing.  I have seen them twice before in Leavenworth and I have all of their albums.  The talent of the band is unbelievable.  However, I was very disappointed with the sound system. For one thing, it was just way too loud for the size of the venue.  I was in the sixth row and my friends and I felt like we were being blasted with sound.  Even more frustrating was that the mix for the vocals seemed way off. We could hardly hear what Tom was singing. It sounded like he was under 10 feet of water. It probably sounded ok in the balcony but it was very muddy in the front rows.  The sad thing is that the acoustics are very good in the theatre.  I sing with the Choral Society and we have sung there several times. There is no need to blast the music like they are in a stadium.  Anyway, we still enjoyed the show, but were disappointed with the sound system. Please bring them back and turn down the amps! :) Thanks!",,"The Paperboys concert was amazing.  I have seen them twice before in Leavenworth and I have all of their albums.  The talent of the band is unbelievable.  However, I was very disappointed with the sound system. For one thing, it was just way too loud for the size of the venue.  I was in the sixth row and my friends and I felt like we were being blasted with sound.  Even more frustrating was that the mix for the vocals seemed way off. We could hardly hear what Tom was singing. It sounded like he was under 10 feet of water. It probably sounded ok in the balcony but it was very muddy in the front rows.  The sad thing is that the acoustics are very good in the theatre.  I sing with the Choral Society and we have sung there several times. There is no need to blast the music like they are in a stadium.  Anyway, we still enjoyed the show, but were disappointed with the sound system. Please bring them back and turn down the amps! :) Thanks! ",0.05904040404040403,2023-05-01
58,20.0,ThePaperboys,2023-05-19,"Walla Walla Union Bulletin, Email",66+,"$50,001 - $100,000",,"I thought the Paperboys program was excellent.  I wonder why leadership does not sign up similar groups.
I am not interested the majority of your events you list.  Keep that in mind",Theatre Play,,"I thought the Paperboys program was excellent.  I wonder why leadership does not sign up similar groups.
I am not interested the majority of your events you list.  Keep that in mind"," I thought the Paperboys program was excellent.  I wonder why leadership does not sign up similar groups.
I am not interested the majority of your events you list.  Keep that in mind",0.2916666666666667,2023-05-01
59,20.0,ThePaperboys,2023-05-19,Gesa Power House Theatre website (www.phtww.org),66+,"$100,001 - $200,000",Outstanding concert.  The group's ability to change music styles was amazing.,"During the performance you allowed a group of at least 8 women to enter the theatre.  They disrupted the entire song and then kept moving and disrupting through the entire next song.  We were in aisle ""I"" and they were 2 aisles lower.  You can't let latecomers interrupt a performance!",Theatre Play,Outstanding concert.  The group's ability to change music styles was amazing.,"During the performance you allowed a group of at least 8 women to enter the theatre.  They disrupted the entire song and then kept moving and disrupting through the entire next song.  We were in aisle ""I"" and they were 2 aisles lower.  You can't let latecomers interrupt a performance!","Outstanding concert.  The group's ability to change music styles was amazing. During the performance you allowed a group of at least 8 women to enter the theatre.  They disrupted the entire song and then kept moving and disrupting through the entire next song.  We were in aisle ""I"" and they were 2 aisles lower.  You can't let latecomers interrupt a performance!",0.13333333333333333,2023-05-01
60,63.0,OneNobleJourney,2024-03-01,"Walla Walla Union Bulletin, Email, Gesa Power House Theatre website (www.phtww.org)",66+,"$50,000 or below",I couldn’t hear some of what he said,,Musical,I couldn’t hear some of what he said,,I couldn’t hear some of what he said ,0.0,2024-03-01
